648768.457462813,736111.5401597141,105315.84651430114,488216.4953094399,494594.23937529034
501062.51328435016,275967.75008633954,216086.76546816053,341691.91021426284,322382.16011077905
76986.55807473054,587499.891643797,810696.5962598621,173703.6444932354,nulo
612557.4143597668,757886.4686029317,135143.53363124898,287006.8003037557,110870.53036694316
900107.3645892647,934745.5927340758,259396.11944982965,821149.6295719101,646301.5228960775
611567.5656674916,152961.9086436651,884390.0988567983,139546.4948702626,366817.56766264397
700114.9432988011,892060.5662476287,763510.4474948614,919445.7364153127,370820.67845336185
940699.732811058,nulo,932597.8347105011,723628.6243089415,384328.2712102566
712119.8449576452,327336.9649907658,199633.88231615242,226081.81163994022,895110.1042425961
550039.4259015375,488277.1521681759,340471.4419172249,751835.3979421932,109871.44492654788
843889.0618529597,967677.8989105191,nulo,952752.3030565478,981885.764424751
171285.63221396087,83183.71066859453,488210.9357817257,nulo,200863.11841529037
99948.54739782188,335541.6083073961,488103.9814892022,950795.5994140866,103890.47517902595
105665.20539098245,101581.03365985771,956776.5560830327,496804.91389323754,785102.366999217
400400.9496693556,621363.9938715895,nulo,nulo,659556.5614641798
610008.0975139027,216720.7253441047,995870.1586929149,nulo,608956.1898792913
137140.52504324482,341689.4231013353,370354.683547516,886441.4403684359,916849.3605342335
771028.3895673123,883771.9195242039,348561.51866393245,855721.7979170225,130354.40835325752
318936.2897525205,31253.37846800913,477284.88512109366,808671.4286134688,984028.2364390877
219770.5682017509,997087.6417762536,195650.88599064172,880608.6752841645,637069.2160457254
nulo,273124.30052516336,610312.4345246162,nulo,833600.6206703059
156344.08802230703,786973.9262353808,632274.7070285,461800.2213718153,651418.51060245
83091.0622275568,82926.86269230554,798872.7593503189,nulo,289533.81803671207
929483.9009521524,261534.51589533093,394924.0985258321,17403.777714500633,nulo
552737.3274557855,31331.898545443604,920950.6680364184,234163.51390769685,927828.4667386947
846137.9433527964,570452.4011032961,518960.50377962453,18877.186916558487,175793.95857256773
353964.65630110627,513413.42963805934,721074.028825966,950628.4016930956,nulo
973197.6022654236,895109.0394686059,224876.79761861844,nulo,624903.4723462518
nulo,254136.15240290866,291504.0431926934,nulo,136324.20758286744
436650.1494750933,853230.9443486946,605966.3543574564,325617.7004387456,684831.1360391678
580211.1156167713,476151.73238942685,910085.5539264417,43425.11967026008,62795.36663828855
122847.05940533991,nulo,620726.0733617939,157834.17351114127,1897.524521718652
524880.5915101651,149245.85100299216,762009.3330141327,580108.2517606659,294177.780673986
